"id","text"
1,"Bhai ab toh c block ke chakkar mein Bagal vale b block mein bhi dhyan se rehna padega"
2,"😂"
3,"😂😂😂"
4,"I still remember last night"
5,"@_mahsa_954"
6,"Har Girls hostel ka sene 😂😂"
7,"😂😂lol"
8,"@mirtalin_timungpi_ @garima.doley"
9,"@laaryu_ @mami_sathing"
10,"😂😂😂😂😂😂😂"
11,"That female ghost is going to be in a lot of trouble 😂😂😂"
12,"@chandu_reddy_2313"
13,"🥲"
14,"@sushant_218 @_vishal._rana hmesha room ki paani supply laane ke liye thank you 🤭"
15,"She won’t be safe here"
